
[4, 0, 5, 21, 4, 27, 1, 11, 4, 16, 1, 5, 5, 14, 3, 14] fit: 242.0
[2, 34, 5, 25, 4, 38, 3, 32, 1, 0, 2, 33, 3, 29, 2, 32] fit: 299.0
[2, 16, 1, 34, 3, 21, 3, 16, 3, 20, 2, 25, 5, 7, 1, 0] fit: 243.0
[3, 7, 1, 0, 3, 12, 2, 32, 1, 37, 4, 28, 3, 20, 4, 17] fit: 245.0
[1, 27, 4, 14, 3, 31, 3, 28, 3, 22, 5, 15, 5, 1, 3, 9] fit: 241.0
[1, 26, 3, 14, 1, 34, 3, 20, 5, 7, 4, 13, 4, 0, 1, 14] fit: 241.0
[5, 20, 5, 38, 5, 10, 2, 37, 5, 14, 5, 8, 3, 0, 3, 4] fit: 185.0
[2, 29, 1, 18, 4, 3, 4, 4, 2, 10, 5, 15, 2, 13, 2, 11] fit: 241.0
[4, 23, 2, 3, 1, 13, 4, 3, 3, 21, 3, 12, 2, 25, 3, 33] fit: 242.0
[1, 9, 3, 37, 1, 27, 2, 34, 3, 25, 5, 19, 4, 17, 4, 25] fit: 300.0
**************************************
[3, 7, 1, 0, 3, 12, 2, 32, 1, 37, 4, 28, 3, 0, 3, 4] fit: 244.0
[2, 34, 5, 25, 4, 38, 3, 32, 1, 0, 2, 33, 5, 1, 3, 9] fit: 300.0
[2, 16, 1, 34, 3, 21, 3, 16, 3, 20, 2, 25, 5, 7, 1, 14] fit: 243.0
[3, 7, 1, 0, 3, 12, 2, 32, 1, 37, 4, 28, 3, 0, 3, 4] fit: 244.0
[1, 9, 3, 37, 1, 27, 2, 34, 3, 25, 5, 19, 4, 17, 4, 25] fit: 300.0
[1, 9, 3, 37, 1, 27, 2, 34, 3, 25, 5, 19, 4, 17, 4, 25] fit: 300.0
[2, 16, 1, 0, 3, 12, 4, 27, 4, 16, 1, 5, 5, 14, 3, 14] fit: 299.0
[2, 16, 1, 0, 3, 12, 4, 27, 4, 16, 1, 5, 5, 14, 3, 14] fit: 299.0
[1, 9, 3, 37, 1, 27, 2, 34, 3, 25, 5, 19, 4, 17, 4, 25] fit: 300.0
[1, 9, 3, 37, 1, 27, 2, 34, 3, 25, 5, 19, 4, 17, 4, 25] fit: 300.0
**************************************
[2, 16, 1, 0, 3, 12, 2, 32, 1, 37, 4, 28, 5, 7, 1, 14] fit: 300.0
[1, 9, 3, 37, 5, 18, 2, 34, 3, 25, 5, 19, 4, 17, 3, 4] fit: 301.0
[1, 9, 3, 37, 5, 18, 2, 34, 3, 25, 5, 19, 4, 17, 3, 4] fit: 301.0
[2, 16, 1, 0, 3, 12, 2, 32, 1, 37, 4, 28, 5, 7, 1, 14] fit: 300.0
[1, 9, 3, 37, 5, 18, 2, 34, 3, 25, 5, 19, 4, 17, 3, 4] fit: 301.0
[1, 9, 3, 37, 5, 18, 2, 34, 3, 25, 5, 19, 4, 17, 3, 4] fit: 301.0
[2, 16, 1, 0, 3, 12, 2, 32, 1, 37, 4, 28, 5, 7, 1, 14] fit: 300.0
